flight altitude,elevation,elevation m_a
1238.35,799.0,938.35
1238.5,799.0,938.5
1238.55,847.0,938.55
1238.5125,844.0,938.5125
1238.4875,866.0,938.4875
1238.55,898.0,938.55
1238.7125,894.0,938.7125
1239.125,877.0,939.125
1239.7625,869.0,939.7625
1240.4625,870.0,940.4625
1241.1875,929.0,941.1875
1242.275,928.0,942.275
1243.8875,910.0,943.8875
1245.6375,936.0,945.6375
1247.0875,930.0,947.0875
1248.0375,882.0,948.0375
1248.6625,844.0,948.6625
1249.175,884.0,949.175
1249.525,942.0,949.525
1248.9625,969.0,948.9625
1248.1,975.0,948.1
1247.2625,979.0,947.2625
1246.75,985.0,946.75
1246.475,987.0,946.475
1246.625,1002.0,946.625
1247.125,988.0,947.125
1248.6375,963.0,948.6375
1250.9375,935.0,950.9375
1252.6375,915.0,952.6375
1253.175,892.0,953.175
1253.0125,934.0,953.0125
1252.7,961.0,952.7
1252.75,957.0,952.75
1253.2625,968.0,953.2625
1254.1625,979.0,954.1625
1253.7875,995.0,953.7875
1253.1125,1007.0,953.1125
1252.95,1018.0,952.95
1253.5875,1028.0,953.5875
1254.4,1037.0,954.4
1255.0375,1039.0,955.0375
